 Unnamed: 0                    CODIGO                                      DISCRIPCION           MARCA      GRUPO  UNIDA    COSTO      P-A     P-B
        NaN                   1926-9.                                  PELOTASDEBILLAR              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                   1926-9X                          BOLITASDECARITASFELICES              HF     FIESTA    NaN    0.000   0.2000   0.190
        NaN                   1926-9Z                           BOLITASDEFUTBOLLCHICAS              HF     FIESTA    NaN    0.000   0.2000   0.190
        NaN                  1926-TW.                                    BOLASDETENNIS              HF     FIESTA    NaN    0.990   1.1000   1.050
        NaN                       198                       TERMOSPLAST.PARAAGUA1500ML              HF        NaN    NaN    1.200   1.3700   1.310
        NaN                      2001                               HORQUILLEROREDONDO               0      HOGAR    NaN    0.000   0.8200   0.810
        NaN                  2001-15.                 CONTACDECOL.AMARILLODE15YAR.LISO             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                     2003A                             HORQUILLEROSCUADRADO               0      HOGAR    NaN    0.000   0.8700   0.860
        NaN                  2004-15.                  CONTACDECOL.NARANJADE15YAR.LISO             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                      2005                       ORQUILLEROP/ROPADE2PZASEN1               0      HOGAR    NaN    0.000   0.6700   0.660
        NaN                  2006-15.                     CONTACDECOL.ROJODE15YAR.LISO             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2009-15.                  CONTACDECOL.CELESTEDE15YAR.LISO             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                   2010-43                          CAJASREDONDASPARAREGALO              HF     FIESTA    NaN    3.510   3.8600   3.680
        NaN                  2011-15.                   CONTACDECOL.AZULOSCURODE15YAR.             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2015-15.                    CONTACDECOL.V.NAVIDADDE15YAR.             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                    201609                               ARTICULOSDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.2500   0.250
        NaN                  2017-15.                       CONTACDECOL.BLANCODE15YAR.             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2019-15.                       CONTACDECOL.MORADODE15YAR.             NaN    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                      2023                      ORQUILLEROP/ROPAFORMADEFLOR               0      HOGAR    NaN    0.000   0.7700   0.760
        NaN                  2023-15.                     CONTACCOL.CHOCOLATE15MTSLISO            H.F.    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2024-15.                         CONTACCOL.NEGRO15MTSLISO            H.F.    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2028-15.                          CONTACCOL.AZUL15MTSLISO            H.F.    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                  2029-15.                        CONTACCOL.V.CAÑA15MTSLISO            H.F.    ESCOLAR    NaN    3.750   4.1300   3.930
        NaN                       203                         ENVASESP/AGUAPLAST,650ML              HF  JUEGUETES    NaN    1.020   1.1600   1.100
        NaN                     203-1                     TERMOSPLASTICOSPARAAGUA650ML            H.F.      HOGAR    NaN    1.380   1.8800   1.500
        NaN                   203-18G                                  CINTASDECOLORES            H.F.      HOGAR    NaN    0.000   0.7200   0.710
        NaN                   203-18R                                  CINTASDECOLORES            H.F.      HOGAR    NaN    0.000   0.7200   0.710
        NaN                   203-18S                                  CINTASDECOLORES            H.F.      HOGAR    NaN    0.000   0.7200   0.710
        NaN                   203-36G            CINTASDECOLORES/BRILLANTEGRANDEDORADA            H.F.      HOGAR    NaN    0.000   1.3200   1.310
        NaN                   203-36R              CINTASDECOLORES/BRILLANTEGRANDEROJA            H.F.      HOGAR    NaN    0.000   1.3200   1.310
        NaN                   203-36S          CINTASDECOLORES/BRILLANTEGRANDEPLATEADA            H.F.      HOGAR    NaN    0.000   1.3200   1.310
        NaN                  203-36ST           CINTASDECOLORES/BRILLANTEGRANDESURTIDA            H.F.      HOGAR    NaN    0.000   1.3200   1.310
        NaN                      2038                        TAZADEPORCELANASANVALETIN            H.F.      HOGAR    NaN    0.470   0.6500   0.570
        NaN                     203-H                          CINTASDECOLORESSURTIDOS             NaN      HOGAR    NaN    0.000   0.9500   0.940
        NaN                       208                                          EXACTO.             NaN    ESCOLAR    NaN    0.000   0.4500   0.440
        NaN                      2081                                PEGAMENTOPVCNUEVO             NaN    NAVIDAD    NaN    0.700   0.7700   0.740
        NaN                     20PVC                             PLASTICOTRANSPARENTE             NaN      HOGAR    NaN   45.000  53.0200  53.010
        NaN                     20X24                              TUBODEBICICLETANo20             NaN      HOGAR    NaN    0.000   0.8700   0.860
        NaN                       213                               ENGRAPADORAMEDIANA             NaN    OFICINA    NaN    0.000   0.9500   0.940
        NaN                      2133                                     PELUCHES40CM             NaN      HOGAR    NaN    0.000   5.6000   5.510
        NaN                    213495                                           ENCAJE             NaN     FIESTA    NaN    0.000  25.0200  25.010
        NaN                      2137                                     PELUCHES30CM             NaN      HOGAR    NaN    0.000   3.3200   3.310
        NaN                  21498-1.                              JUEGOCOMPASCONLAPIZ             NaN    FIESTAS    NaN    0.000   0.3850   0.360
        NaN                  21498-2.                                  LAPIZDEESCRIBIR             NaN    FIESTAS    NaN    0.000   0.5500   0.520
        NaN                  21498-3.                            LAPIZDECOLORESDE24PZA             NaN    FIESTAS    NaN    0.000   0.7700   0.730
        NaN                  21498-4.                            LAPIZDECOLORESDE12PZA             NaN    FIESTAS    NaN    0.000   0.3500   0.330
        NaN                   21582-1                                LIBRETASDEAPUNTES             NaN     FIESTA    NaN    0.000   0.6500   0.640
        NaN                    2165-1                                MASCARASPLASTICAS             NaN      HOGAR    NaN    0.000   0.2400   0.180
        NaN                   2165-10                            CALABAZAPLASTICACHICA             NaN    JUGUETE    NaN    0.250   0.3300   0.310
        NaN                   2165-16                          DISFRAZDETIGREENFALDITA             NaN     FIESTA    NaN    0.000   0.8000   0.790
        NaN                   2165-17                                DISFRAZDEDIABLITA             NaN     FIESTA    NaN    0.000   0.8000   0.790
        NaN                    2165-2                                MASCARASPLASTICAS             NaN      HOGAR    NaN    0.000   0.2000   0.190
        NaN                    2165-3                                MASCARASPLASTICAS             NaN      HOGAR    NaN    0.000   0.2200   0.210
        NaN                    2165-4                                MASCARASPLASTICAS             NaN      HOGAR    NaN    0.000   0.2000   0.190
        NaN                   2165-5.                                 SOMBREROSDEBRUJA             NaN      HOGAR    NaN    0.300   0.3800   0.360
        NaN                   2165-9.                            CALABAZASPARAHALLOWEN              HF      HOGAR    NaN    0.450   0.5500   0.520
        NaN                    2165-J                                 ANTIFAZDE3PLUMAS             NaN      HOGAR    NaN    0.000   0.3500   0.340
        NaN                    2165-K                                          ANTIFAZ             NaN     FIESTA    NaN    0.000   0.3400   0.330
        NaN                    2165-W                                DISFRAZDEMARIPOSA             NaN     FIESTA    NaN    0.000   0.9100   0.900
        NaN                    2165-X                               DISFRAZDEBAILARINA             NaN     FIESTA    NaN    0.000   0.8000   0.790
        NaN                    2165-Z                                DISFRAZDEMARIPOSA             NaN      HOGAR    NaN    0.000   0.8000   0.790
        NaN                21703-25ML                                ACRILICODE12PZAS.              HF    ESCOLAR    NaN    0.000   2.8500   2.800
        NaN                   21707-Y                     RESALTADORESDECOLORESDE6PZAS              HF    ESCOLAR    NaN    0.000   0.4100   0.390
        NaN                   21729-1                               MARCADORESDE12PZAS              HF    ESCOLAR    NaN    0.000   0.2800   0.270
        NaN                   21729-2                               MARCADORESDE12PZAS              HF    ESCOLAR    NaN    0.000   0.6000   0.590
        NaN                   21734-1                                  JUEGOSDELAPIZHB              HF    ESCOLAR    NaN    0.000   0.9900   0.940
        NaN                   21734-5                                   LAPIZMERCANICO              HF    ESCOLAR    NaN    0.250   0.2700   0.260
        NaN                   21734-7                           LAPIZMERCANICO/escolar              HF    ESCOLAR    NaN    0.250   0.2700   0.260
        NaN                   21740-1                           LIBRETASDEAPUNTESCHICA              HF    ESCOLAR    NaN    0.000   0.4500   0.440
        NaN                   21740-2                           LIBRETASDEAPUNTESCHICA              HF    ESCOLAR    NaN    0.000   0.4500   0.440
        NaN                 21742-000                         PAPELTISSUE10PZASSURTIDO              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                   2179-1.                      MARCADORESDE12PZASDECOLORES              HF     FIESTA    NaN    0.000   0.2800   0.270
        NaN                   2179-2.                      MARCADORESDE24PZASDECOLORES              HF     FIESTA    NaN    0.000   0.4600   0.430
        NaN                  21834-1.                                LIQUIDOCORRECTOR.              HF    ESCOLAR    NaN    0.000   0.2000   0.190
        NaN                  21981-10                                         STICKERS            H.F.    ESCOLAR    NaN    0.000   0.3000   0.290
        NaN                   22109-1                           PALETAP/MEZCLARCOLORES              HF    ESCOLAR    NaN    0.000   0.2700   0.260
        NaN                  22134-00                               PAPELTISSUESURTIDO              HF     FIESTA    NaN    0.220   0.3000   0.290
        NaN                   22134-1                                 PAPELTISSUEROJO.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                  22134-10                              PAPELTISSUECELESTE.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                  22134-11                                PAPELTISSUENEGRO.              HF     FIESTA    NaN    0.220   0.3500   0.290
        NaN                  22134-12                               PAPELTISSUEBLANCO.              HF     FIESTA    NaN    0.220   0.3000   0.290
        NaN                  22134-13                               PAPELTISSUEBLANCO.              HF     FIESTA    NaN    0.220   0.3000   0.290
        NaN                  22134-14                                     PAPELTISSUE.              HF     FIESTA    NaN    0.220   0.3000   0.290
        NaN                  22134-15                                     PAPELTISSUE.              HF     FIESTA    NaN    0.220   0.3000   0.290
        NaN                   22134-2                               PAPELTISSUEROSADO.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                   22134-4                                     PAPELTISSUE.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                   22134-5                                PAPELTISSUEVERDE.              HF     FIESTA    NaN    0.220   0.3500   0.290
        NaN                   22134-7                               PAPELTISSUEFUCSIA.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                   22134-8                               PAPELTISSUEMORADO.              HF     FIESTA    NaN    0.220   0.3500   0.290
        NaN                   22134-9                                     PAPELTISSUE.              HF     FIESTA    NaN    0.000   0.3000   0.290
        NaN                   2217-1.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2217-2.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2217-3.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2217-4.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2217-5.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   222-31A                                         CARRITOS             NaN  JUEGUETES    NaN    0.000   0.5500   0.540
        NaN                      2225                     PELUCHESENFORMADECONEJO-ROJO              HF    FIESTAS    NaN    0.000   4.2400   4.040
        NaN                      2229                 PELUCHEOSOCONSOMBREROROJO-FUCSIA              HF    FIESTAS    NaN    0.000   6.1100   5.820
        NaN                      2229                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2600   0.250
        NaN                      2232                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.220   0.2600   0.220
        NaN                   22341-1                        PAPELCELOFANTRANSPARENTE.            H.F.     FIESTA    NaN    0.000   1.4500   1.440
        NaN                  22341-14               BOLSITASDEREGALOCHIQUITABRILLANTE.            H.F.     FIESTA    NaN    0.000   0.1300   0.120
        NaN                   22341-2                           PAPELCELOFANDECOLORES.            H.F.     FIESTA    NaN    0.000   2.0000   1.900
        NaN                  22341-21                  BOLSASDEREGALOBRILLANTEMEDIANA.            H.F.     FIESTA    NaN    0.000   0.1700   0.160
        NaN                  22341-27                  BOLSASDEREGALOBRILLANTEMEDIANA.            H.F.     FIESTA    NaN    0.180   0.2000   0.190
        NaN                  22341-34                 BOLSITASDEREGALOGRANDEBRILLANTE.            H.F.     FIESTA    NaN    0.000   0.2500   0.240
        NaN                   2237-1.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.320   0.3500   0.330
        NaN                   2237-2.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.320   0.3500   0.330
        NaN                   2237-3.                      GUIRNALDADENAVIDADBRILLANTE              HF    FIESTAS    NaN    0.320   0.3500   0.330
        NaN                   2237-4.                      GUIRNALDADENAVIDADBRILLANTE              HF    FIESTAS    NaN    0.320   0.3500   0.330
        NaN                   2237-5.                      GUIRNALDADENAVIDADBRILLANTE              HF    FIESTAS    NaN    0.000   0.3500   0.330
        NaN                   22406-0                             PAPELDEREGALOSURTIDO            H.F.     FIESTA    NaN    0.000   0.0500   0.040
        NaN                   22529-1                                 DELANTALPLASTICO             NaN    ESCOLAR    NaN    0.000   1.1500   1.140
        NaN                   2293-1.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2293-2.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2293-3.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.230   0.2500   0.240
        NaN                   2293-4.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.000   0.2500   0.240
        NaN                   2293-5.                               GUIRNALDADENAVIDAD              HF    FIESTAS    NaN    0.230   0.2500   0.240
        NaN                      2297                        GUIRNALDABLANCASDENAVIDAD              HF    FIESTAS    NaN    0.330   0.4700   0.450
        NaN                    2315-1                                     ILOVEYOUROJO              HF      HOGAR    NaN    0.000   1.0500   1.040
        NaN                    2315-3                                         FELIZDIA              HF      HOGAR    NaN    0.000   0.5700   0.560
        NaN                    2315-4                                 SETDEGLOBOSTEAMO              HF      HOGAR    NaN    0.000   0.5700   0.560
        NaN                   23189-1          BOLSASDEREGALOCONDISEÑODEDIADELASMADRES              HF     FIESTA    NaN    0.000   0.1900   0.170
        NaN                   23189-2                 BOLSASDEREGALOCONDISEÑODEFLORES.              HF     FIESTA    NaN    0.000   0.1900   0.170
        NaN                   23189-3                BOLSASDEREGALODISEÑODECUMPLEAÑOS.              HF     FIESTA    NaN    0.160   0.1900   0.170
        NaN                   23189-4                BOLSASDEREGALOCONDISEÑODEPELUCHES              HF     FIESTA    NaN    0.000   0.1900   0.170
        NaN                       233                                ENGRAPADORAGRANDE            H.F.    OFICINA    NaN    1.350   1.2800   1.210
        NaN                  23936-1.                               DOBLECONTACTO1PZAS            H.F.     FIESTA    NaN    0.200   0.2400   0.210
        NaN                  23936-3.                               DOBLECONTACTO2PZAS            H.F.     FIESTA    NaN    0.400   0.4900   0.470
        NaN               23ES05V-209                             BOLASNAVIDEÑASDE8CM.            H.F.    NAVIDAD    NaN    0.930   1.1600   0.970
        NaN              23ES06V-107.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.880   0.9900   0.940
        NaN              23ES06V-109.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.730   0.9100   0.760
        NaN              23ES06V-110.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.880   0.9700   0.920
        NaN              23ES06V-112.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    1.120   1.2300   1.170
        NaN              23ES06V-114.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.730   0.9100   0.760
        NaN              23ES06V-116.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.730   0.9100   0.760
        NaN              23ES06V-117.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    0.900   0.9900   0.940
        NaN               23ES06V-158                             BOLASNAVIDEÑASDE7CM.            H.F.    NAVIDAD    NaN    1.160   1.2700   1.200
        NaN               23ES06V-208                             BOLASNAVIDEÑASDE8CM.            H.F.    NAVIDAD    NaN    1.160   1.2800   1.210
        NaN              23ES09V-112.                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    1.120   1.2300   1.170
        NaN               23ES09V-225                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    1.140   1.2600   1.190
        NaN               23ES09V-226                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    1.130   1.2500   1.190
        NaN               23ES12V-122                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    1.450   1.6000   1.520
        NaN               23ES24V-241                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    2.700   2.9800   2.830
        NaN               23ES24V-243                             BOLASNAVIDEÑASDE6CM.            H.F.    NAVIDAD    NaN    2.500   2.7500   2.620
        NaN                  24056-3.                             PLUMILLAPUNTAFINAY03              HF    ESCOLAR    NaN    0.000   4.7900   4.560
        NaN                  24056-5.                           PLUMILLADEPUNTAFINA·05              HF    ESCOLAR    NaN    0.000   4.7900   4.560
        NaN                   24100CA                           CARPETASDENAVIDADSURT.             NaN    NAVIDAD    NaN    0.000  24.2500  23.100
        NaN                  24229-1.               FOLDERDEARCHIVOPLAST.CONDIVISIONES              HF    ESCOLAR    NaN    1.750   2.1000   1.850
        NaN                   24229-2              FOLDERDEARCHIVOPLAST.CONDIVISIONES2              HF    ESCOLAR    NaN    1.400   1.6100   1.470
        NaN                   24229-3                           FOLDERDEARCHIVOCONHILO              HF    ESCOLAR    NaN    1.250   1.2700   1.210
        NaN                  24229-4.                      FOLDERDEARCHIVOCONSUJETADOR              HF    ESCOLAR    NaN    1.600   2.0100   1.780
        NaN                 24229-4S.                   DIVISIONESPLASTGRUESASP/FOLDER              HF    ESCOLAR    NaN    0.000   1.4550   1.360
        NaN                   24229-5                             DIVISIONESPARAFOLDER              HF    ESCOLAR    NaN    0.000   1.1000   1.050
        NaN                   24229-6                                  FOLDERDEARCHIVO              HF    ESCOLAR    NaN    0.000   1.1000   1.050
        NaN                   24229-7                                  FOLDERDEARCHIVO              HF    ESCOLAR    NaN    0.000   0.2700   0.260
        NaN                  24243-3.                       CARTONCILLOENPAQ.COL.SURT.             NaN    ESCOLAR    NaN    0.750   1.0200   1.010
        NaN                  24243-4.                                CARTONCILLABLANCO             NaN    ESCOLAR    NaN    0.000  20.9470  19.950
        NaN                   24243-A                         ORQUILLASP/MANUALIDADES.              HF    ESCOLAR    NaN    0.000   0.2600   0.250
        NaN                   24243-B                   PLUMASDEGALLINADECOL.CHIQUITA.              HF    ESCOLAR    NaN    0.000   0.4000   0.390
        NaN                   24243-C                            PLUMASDEGALLINADECOL.              HF    ESCOLAR    NaN    0.000   0.3000   0.490
        NaN                 24243-CHI                          LETRASDEMADERASCONBASE.             NaN    ESCOLAR    NaN    0.000   0.4000   0.390
        NaN                   24243-F                                PLUMASDEPAVOREAL.              HF    SEDERIA    NaN    0.000   0.2900   0.280
        NaN                   24243-G                           LETRASDEMADERASINBASE.              HF    SEDERIA    NaN    0.000   0.4000   0.390
        NaN                   24243-H                           NUMERODEMADERASINBASE.              HF    SEDERIA    NaN    0.000   0.4000   0.390
        NaN                   24243-J                                LETRASESCARCHADA.              HF    SEDERIA    NaN    0.000   0.4000   0.390
        NaN                 24243-MIX                          NUMEROSDEMADERACONBASE.              HF    SEDERIA    NaN    0.000   0.4000   0.390
        NaN                 24243-T*S                           LETRASDEMADERACONBASE.              HF    SEDERIA    NaN    0.000   0.4000   0.390
        NaN                24243-VOL.                                      VELASVOLCAN              HF    SEDERIA    NaN    0.000   0.7000   0.570
        NaN                24352-05BL                      PORTAFOLIODE0.5PULGADANEGRO              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-05BU                       PORTAFOLIODE0.5PULGADAAZUL              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-05WH                     PORTAFOLIODE0.5PULGADABLANCO              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-10BL                       PORTAFOLIOde1.pulgadaNEGRO              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-10BU                        PORTAFOLIODE1.PULGADAAZUL              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-10RE                            PORTAFOLIOde1.pulgada             NaN    ESCOLAR    NaN    0.000   1.6200   1.540
        NaN                24352-10RS                            PORTAFOLIODE1.PULGADA             NaN    FIESTAS    NaN    0.000   1.6200   1.540
        NaN                24352-10ST                       PORTAFOLIODE1.PULGADASURT.             NaN    FIESTAS    NaN    0.000   1.6200   1.540
        NaN                24352-10WH                      PORTAFOLIOde1.pulgadaBLANCA              HF    FIESTAS    NaN    1.020   1.6200   1.540
        NaN                24352-15BL                      PORTAFOLIOde1.5pulgadaNEGRA              HF    ESCOLAR    NaN    1.180   1.6800   1.600
        NaN                24352-15BU                       PORTAFOLIOde1.5pulgadaAZUL             NaN    ESCOLAR    NaN    1.180   1.6800   1.600
        NaN                24352-15RE                           PORTAFOLIOde1.5pulgada             NaN    FIESTAS    NaN    0.000   1.6800   1.600
        NaN                24352-15RS                           PORTAFOLIOde1.5pulgada             NaN    FIESTAS    NaN    0.000   1.6800   1.600
        NaN                24352-15ST                       PORTAFOLIOde1.5PULGADASURT             NaN    ESCOLAR    NaN    0.000   1.6800   1.600
        NaN                24352-15WH                     PORTAFOLIOde1.5pulgadaBLANCO              HF    FIESTAS    NaN    1.180   1.6800   1.600
        NaN               24352-20BL.                       PORTAFOLIOde2pulgadasNEGRO             NaN    ESCOLAR    NaN    1.220   1.9000   1.810
        NaN                24352-20BU                         PORTAFOLIO2.PULGADASAZUL             NaN    FIESTAS    NaN    1.220   1.9000   1.810
        NaN                24352-20HU                            PORTAFOLIOde2pulgadas             NaN    FIESTAS    NaN    0.000   1.9000   1.810
        NaN                24352-20ST                         PORTAFOLIO2PULGADASSURT.             NaN    ESCOLAR    NaN    0.000   1.9000   1.810
        NaN                24352-20WH                      PORTAFOLIOde2pulgadasBLANCO             NaN    FIESTAS    NaN    1.220   1.9000   1.810
        NaN                  24438-40                    ALFILERESDECABEZITADECOLORES.              HF      HOGAR    NaN    0.000   0.0900   0.080
        NaN                   24440-1                                CARTUCHERASESC.*2              HF    ESCOLAR    NaN    0.000   0.6200   0.610
        NaN                   24440-2                                CARTUCHERASESC.*3              HF    ESCOLAR    NaN    0.000   0.6200   0.610
        NaN                   24440-3                           CARTUCHERASESC.FUTBOLL              HF    ESCOLAR    NaN    0.000   0.6700   0.660
        NaN                       247                                 HIERBAARTIFICIAL              HF    FIESTAS    NaN    0.000   1.7500   1.740
        NaN                  24727-1.                                         BANDERAS              HF      HOGAR    NaN    0.420   0.5300   0.440
        NaN                   24727-2                                  BANDERASMEDIANA             NaN    ESCOLAR    NaN    0.450   0.4900   0.470
        NaN                  24727-2.                                  BANDERASMEDIANA             NaN    ESCOLAR    NaN    0.450   0.4900   0.470
        NaN                 24727-200                                  BANDERASMEDIANA             NaN    ESCOLAR    NaN   12.000  13.2500  12.600
        NaN                   24727-3                                    BANDERAGRANDE             NaN    ESCOLAR    NaN    1.050   1.3500   1.340
        NaN                  24727-3.                                    BANDERAGRANDE             NaN    ESCOLAR    NaN    1.050   1.3500   1.340
        NaN                  24767-12                                MARIPOSAENPAQUETE              HF     FIESTA    NaN    0.550   0.5700   0.560
        NaN                   24767-4                                MARIPOSAENPAQUETE              HF     FIESTA    NaN    0.000   0.1800   0.160
        NaN                   24779-1                FOLDERTRANSPARENTEC//HILOVERTICAL             NaN      HOGAR    NaN    0.000   0.2200   0.210
        NaN                   24779-2           CARTAPACIOTRANSPARENTEC/HILOHORIZONTAL             NaN      HOGAR    NaN    0.000   0.2500   0.240
        NaN                  24782-1.                                CORDONES/CARNET·1              HF    FIESTAS    NaN    0.000   0.0900   0.080
        NaN                  24782-2.                               CORDONESP/CARNET·2              HF    FIESTAS    NaN    0.000   0.0900   0.080
        NaN                  24783-1.                        STICKERSENFORMADEESTRELLA              HF    FIESTAS    NaN    0.000   0.6600   0.630
        NaN                 24783-10.                        FIGURASDEFOMI(ESQUINERAS)              HF    FIESTAS    NaN    0.230   0.3300   0.310
        NaN                24783-10A.                           ESQUINERASCOL,SURTIDOS              HF    FIESTAS    NaN    0.180   0.2600   0.220
        NaN                24783-10B.                          ESQUINERASCOL,SURTIDOS1              HF    FIESTAS    NaN    0.230   0.3500   0.290
        NaN                24783-10C.                          ESQUINERASCOL,SURTIDOS2              HF    FIESTAS    NaN    0.250   0.4000   0.330
        NaN                 24783-11.                                ESQUINERASDEFOMI2              HF    FIESTAS    NaN    0.230   0.3300   0.310
        NaN                24783-11A.                          ESQUINERASSURTIDOSCOL,1              HF    FIESTAS    NaN    0.180   0.2600   0.220
        NaN                24783-11B.                          ESQUINERASSURTIDOSCOL,2              HF    FIESTAS    NaN    0.230   0.3500   0.290
        NaN                24783-11C.                        ESQUINERASSURTIDOSGRANDES              HF    FIESTAS    NaN    0.250   0.4000   0.330
        NaN                  24783-2.                         FIGURASDEFOMYESC.SURTIDO              HF    ESCOLAR    NaN    0.580   0.6600   0.630
        NaN                  24783-3.                         LETRASENFOMYSURT.COLORES              HF    FIESTAS    NaN    0.000   0.6600   0.630
        NaN                  24783-4.                      FIGURASDEFOMYES.GEOMETRICAS              HF    FIESTAS    NaN    0.000   0.6600   0.630
        NaN                  24783-5.                     FIGURASDEFOMIANIMALESMARINOS              HF    FIESTAS    NaN    0.400   0.4700   0.450
        NaN                  24783-6.                              FIGUASDEFOMIENPECES              HF    FIESTAS    NaN    0.400   0.4700   0.450
        NaN                  24783-7.                           FIGURASDEFOMIVEGETALES              HF    FIESTAS    NaN    0.000   0.4700   0.450
        NaN                  24783-8.                              FIGURASDEFOMIFRUTAS              HF    FIESTAS    NaN    0.400   0.4700   0.450
        NaN                  24783-9.                      FIGUASDEFOMIESTRELLASGRANDE              HF    FIESTAS    NaN    0.000   0.6600   0.630
        NaN                 24806-00.                                 ALFILERESDORADOS            H.F.    ESCOLAR    NaN    0.000   2.1000   1.710
        NaN                24806-012.                               ALFILERESPLATIADOS            H.F.    ESCOLAR    NaN    0.000   2.3100   2.200
        NaN                   24839-1                                  BANDERADECHUPON            H.F.    ESCOLAR    NaN    0.070   0.0900   0.073
        NaN                  24839-2.                       BANDERAMANGODEPALODEMADERA            H.F.    ESCOLAR    NaN    0.250   0.2700   0.260
        NaN                  24839-3.                           BANDERAMANGODEPLASTICO            H.F.    ESCOLAR    NaN    0.210   0.2500   0.240
        NaN                     24X20                              TUBODEBICICLETANo24              HF      HOGAR    NaN    0.000   1.0500   1.030
        NaN                   25001-1                                   ESCARCHAENTUBO             NaN    ESCOLAR    NaN    0.000   0.1600   0.150
        NaN                 25041-100                                   CARACOLESDEMAR             NaN      HOGAR    NaN    0.000   0.6000   0.570
        NaN                 25041-120                              CONCHASDEMARBLANCAS              HF      HOGAR    NaN    0.000   0.4900   0.470
        NaN                 25041-250                             JUEGOMARINOP/DECORAR              HF      HOGAR    NaN    1.100   1.2800   1.220
        NaN                  25073-3.                                      BOLAFUTBOLL              HF  JUEGUETES    NaN    1.970   2.3700   2.260
        NaN                   25073-4                                BOLAFUTBOLL/CHICA              HF  JUEGUETES    NaN    0.000   1.3700   1.310
        NaN                  25083-GJ                          ROMPECABEZADEANIMALITOS             NaN  JUEGUETES    NaN    0.000   0.7000   0.690
        NaN                  25083-ZM                         ROMPECABEZADELETRASYNUM.              HF  JUEGUETES    NaN    0.000   0.8200   0.780
        NaN                     25205                                    JUGUETEDEMANO             NaN  JUEGUETES    NaN    0.000   0.2300   0.220
        NaN                 252-12RW.                           PINCELESPUNTADECOLORES            H.F.    escolar    NaN    0.000   0.6700   0.630
        NaN                    2522-2                                  HULAHULAGRANDE.            H.F.    JUGUETE    NaN    0.500   0.6100   0.580
