 Unnamed: 0                    CODIGO                                      DISCRIPCION           MARCA      GRUPO  UNIDA    COSTO      P-A     P-B
        NaN                 0648-111.                    LANA EN PAQUETEDE12PZANARANJA             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                 0648-207.                          LANA EN PAQUETEDE12PZA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-209                          LANA EN PAQUETEDE12PZA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-211                    LANA EN PAQUETEDE12PZAFUCSIA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-218                           LANA EN PAQUETEDE12PZA             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                  0648-222                        LANAROJOENPAQUETEDE12PZA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-223                       LANANEGRAENPAQUETEDE12PZA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-231                      LANA EN PAQUETEDE12PZALILA.             NaN    SEDERIA    NaN    2.450   2.7000   2.570
        NaN                 0648-232.               LANA EN PAQUETEDE12PZAMORADOSUAVE.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                 0648-234.                           LANA EN PAQUETEDE12PZA             NaN    SEDERIA    NaN    0.000   2.7000   2.570
        NaN                  0648-241              LANA EN PAQUETEDE12PZAMORADOFUERTE.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-304                   LANA EN PAQUETEDE12PZACELESTE.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-305                      LANA EN PAQUETEDE12PZAAZUL.             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                  0648-307             LANA EN PAQUETEDE12PZATRQUEZAOSCURO.             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                  0648-426                LANA EN PAQUETEDE12PZAVERDEOLIVO.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-446                           LANA EN PAQUETEDE12PZA             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                  0648-543                           LANA EN PAQUETEDE12PZA              HF    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                  0648-548                LANA EN PAQUETEDE12PZACOC.OSCURO.             NaN    SEDERIA    NaN    2.450   2.7500   2.740
        NaN                  0648-623                          LANA EN PAQUETEDE12PZA.             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                   0648-ST                   LANA EN PAQUETEDE12PZA.SURTIDO             NaN    SEDERIA    NaN    0.000   2.7500   2.740
        NaN                   0707-5A            PAGINASDECOLORESFUORECENTEROSADOSURT.            H.F.    ESCOLAR    NaN    0.000   1.1700   1.160
        NaN                   0707-5C                  PAGINASDECOLORESFUORECENTESURT.            H.F.    ESCOLAR    NaN    0.000   1.1700   1.160
        NaN                   0707-5D                  PAGINASDECOLORESFUORECENTESURT.            H.F.    ESCOLAR    NaN    0.000   1.1700   1.160
        NaN                        82                                        RECOJEDOR              HF      HOGAR    NaN    0.000   0.7300   0.700
        NaN                     08PVC                            PLASTICOTRANSPARENTE.              HF      HOGAR    NaN    0.000  46.3000  44.100
        NaN                   0917-26                       MALLASP/NAVIDADCOL.SURTIDO              HF     FIESTA    NaN    0.000   0.9000   0.890
        NaN                   0917-53                 MALLASP/NAVIDADCOL.SURTIDOGRANDE              HF     FIESTA    NaN    0.000   1.7000   1.690
        NaN                 0917-A-26                      MALLASDENAV.TORNASOL-BLANCA              HF     FIESTA    NaN    0.750   0.9400   0.780
        NaN                 0917-A-53                      MALLASDENAV.TORNASOL-BLANCA              HF     FIESTA    NaN    1.450   1.7000   1.690
